Gamma,Theta,Méthode Éval,Itérations Policy,Itérations Éval Total,Temps Total (s),Temps Moyen Itération (s),Temps Éval Moyen (s),Temps Extract Moyen (s),Valeur Max Finale,Convergence
0.5,0.001,sync,14,49,0.34,0.02,0.0127,0.0114,1.000,✓
0.6,0.001,sync,15,65,0.47,0.03,0.0187,0.0123,1.000,✓
0.7,0.001,sync,15,76,0.36,0.02,0.0137,0.0105,1.000,✓
0.9,0.001,sync,15,120,0.53,0.04,0.0242,0.0109,1.000,✓
0.95,0.001,sync,16,196,0.82,0.05,0.0390,0.0123,1.000,✓
0.99,0.001,sync,16,800,2.53,0.16,0.1480,0.0099,1.000,✓
0.999,0.001,sync,15,6921,20.89,1.39,1.3814,0.0113,1.000,✓
0.9,0.1,sync,14,79,0.51,0.04,0.0238,0.0126,1.000,✓
0.9,0.01,sync,15,101,0.46,0.03,0.0198,0.0110,1.000,✓
0.9,0.001,sync,16,123,0.56,0.04,0.0235,0.0116,1.000,✓
0.9,0.0001,sync,14,133,0.61,0.04,0.0312,0.0119,1.000,✓
0.9,1e-05,sync,12,258,1.06,0.09,0.0766,0.0116,1.000,✓
0.9,0.001,sync,13,118,0.59,0.05,0.0322,0.0134,1.000,✓
0.9,0.001,async,16,109,0.60,0.04,0.0249,0.0122,1.000,✓
